Date,Open,High,Low,Close
2023-12-15,28.236,28.436,28.126,28.186
2023-12-18,28.206,28.321,28.066,28.246
2023-12-19,28.426,28.596,28.396,28.586
2023-12-20,28.626,28.636,27.896,27.906
2023-12-21,28.336,28.496,28.181,28.496
2023-12-22,28.606,28.606,28.251,28.386
2023-12-26,28.466,28.656,28.396,28.606
2023-12-27,28.716,28.716,28.536,28.686
2023-12-28,28.76,28.85,28.68,28.72
2023-12-29,28.74,28.77,28.39,28.5
2024-01-02,28.22,28.22,27.625,27.71
2024-01-03,27.32,27.37,26.9,26.93
2024-01-04,26.88,27.055,26.74,26.87
2024-01-05,26.76,27.077,26.69,26.84
2024-01-08,26.99,27.72,26.97,27.7
2024-01-09,27.65,27.91,27.48,27.73
2024-01-10,28.12,28.465,28.12,28.41
2024-01-11,28.69,28.78,28.29,28.68
2024-01-12,28.93,29.095,28.75,28.79
2024-01-16,28.66,28.78,28.461,28.59
2024-01-17,28.21,28.21,27.8,28.14
2024-01-18,28.45,28.46,28.145,28.45
2024-01-19,28.49,28.72,28.22,28.71
2024-01-22,28.96,29.24,28.96,29.07
2024-01-23,29.15,29.18,28.885,29.05
2024-01-24,29.27,29.3,28.845,28.86
2024-01-25,29.09,29.24,28.882,29.0
2024-01-26,29.05,29.325,29.04,29.2
2024-01-29,29.07,29.56,28.99,29.56
2024-01-30,29.46,29.47,29.2,29.23
2024-01-31,29.01,29.14,28.57,28.58
2024-02-01,28.83,29.14,28.705,29.13
2024-02-02,29.03,29.42,28.9,29.39
2024-02-05,29.31,29.38,29.0,29.3
2024-02-06,29.2,29.2,28.765,29.07
2024-02-07,29.11,29.35,29.0,29.32
2024-02-08,29.32,29.47,29.13,29.37
2024-02-09,29.59,29.95,29.53,29.91
2024-02-12,30.0,30.32,29.86,29.99
2024-02-13,29.23,29.63,28.85,29.28
2024-02-14,29.7,29.9,29.51,29.89
2024-02-15,30.13,30.24,30.015,30.14
2024-02-16,30.3,30.3,29.84,29.97
2024-02-20,30.07,30.08,29.555,29.82
2024-02-21,29.67,29.67,29.24,29.46
2024-02-22,30.58,30.8,30.38,30.76
2024-02-23,30.97,31.14,30.61,30.73
2024-02-26,31.18,31.18,30.88,31.01
2024-02-27,31.33,31.34,30.97,31.14
2024-02-28,31.0,31.02,30.69,30.81
2024-02-29,31.1,31.338,30.98,31.18
2024-03-01,31.38,31.761,31.13,31.74
2024-03-04,32.03,32.265,31.88,31.97
2024-03-05,31.97,32.045,31.51,31.7
2024-03-06,32.26,32.58,32.04,32.35
2024-03-07,32.69,32.92,32.51,32.89
2024-03-08,33.26,33.595,32.27,32.38
2024-03-11,32.16,32.16,31.78,31.84
2024-03-12,31.98,32.35,31.6,32.35
2024-03-13,32.175,32.21,31.94,32.08
2024-03-14,32.11,32.11,31.33,31.56
2024-03-15,31.52,31.79,31.455,31.65
2024-03-18,32.09,32.19,31.82,31.87
2024-03-19,31.61,31.95,31.365,31.89
2024-03-20,31.98,32.32,31.795,32.27
2024-03-21,32.48,32.51,32.22,32.24
2024-03-22,32.19,32.2,31.95,32.14
2024-03-25,31.87,32.075,31.78,31.94
2024-03-26,32.19,32.2,31.9,31.92
2024-03-27,32.02,32.03,31.55,31.82
2024-03-28,31.81,31.948,31.77,31.81
2024-04-01,31.84,31.99,31.54,31.63
2024-04-02,31.16,31.16,30.875,31.05
2024-04-03,30.91,31.225,30.775,31.09
2024-04-04,31.3,31.359,30.57,30.57
2024-04-05,30.51,30.84,30.38,30.7
2024-04-08,30.84,30.888,30.665,30.77
2024-04-09,31.02,31.07,30.705,31.02
2024-04-10,30.49,30.73,30.411,30.55
2024-04-11,30.67,30.92,30.47,30.89
2024-04-12,30.59,30.59,29.98,30.09
2024-04-15,30.34,30.4,29.45,29.51
2024-04-16,29.37,29.6,29.19,29.41
2024-04-17,29.45,29.55,29.01,29.08
2024-04-18,29.31,29.54,29.102,29.24
2024-04-19,29.09,29.2,28.575,28.65
2024-04-22,28.98,29.24,28.75,29.11
2024-04-23,29.16,29.71,29.16,29.64
2024-04-24,29.82,29.91,29.404,29.56
2024-04-25,28.95,29.407,28.91,29.34
2024-04-26,29.71,30.145,29.71,30.08
