Date,Open,High,Low,Close,neg,neu,pos,sentiment
2024-03-19,31.61,31.95,31.365,31.89,0.0299677419354838,0.8635967741935484,0.1064193548387096,0.1253322580645161
2024-03-20,31.98,32.32,31.795,32.27,0.0261967213114754,0.8704098360655738,0.1033934426229508,0.0935327868852459
2024-03-21,32.48,32.51,32.22,32.24,0.057037037037037,0.8422777777777777,0.1006666666666666,0.0603407407407407
2024-03-22,32.19,32.2,31.95,32.14,0.0389342105263157,0.9025394736842106,0.0585328947368421,0.0395302631578947
2024-03-25,31.87,32.075,31.78,31.94,0.0257121212121212,0.909818181818182,0.0644696969696969,0.0757257575757575
2024-03-26,32.19,32.2,31.9,31.92,0.042576923076923,0.9180576923076924,0.0393461538461538,0.0095634615384615
2024-03-27,32.02,32.03,31.55,31.82,0.0505797101449275,0.861072463768116,0.0883478260869565,0.0955652173913043
2024-03-28,31.81,31.948,31.77,31.81,0.0376521739130434,0.8933333333333333,0.0690579710144927,0.0282188405797101
2024-04-01,31.84,31.99,31.54,31.63,0.0346702127659574,0.8837340425531914,0.0815851063829787,0.0818148936170212
2024-04-02,31.16,31.16,30.875,31.05,0.0462672413793103,0.8460172413793103,0.1077327586206896,0.0760870689655172
2024-04-03,30.91,31.225,30.775,31.09,0.041752,0.8586,0.099648,0.1009231999999999
2024-04-04,31.3,31.359,30.57,30.57,0.0247570093457943,0.8791682242990654,0.0960747663551401,0.1057775700934579
2024-04-05,30.51,30.84,30.38,30.7,0.0499858156028368,0.8585815602836879,0.0914397163120567,0.0780354609929078
2024-04-08,30.84,30.888,30.665,30.77,0.0329259259259259,0.8889814814814815,0.0780833333333333,0.0875907407407407
2024-04-09,31.02,31.07,30.705,31.02,0.038442748091603,0.8714198473282443,0.0901374045801526,0.1071763358778626
2024-04-10,30.49,30.73,30.411,30.55,0.0360144927536231,0.8739710144927536,0.0900072463768116,0.0981253623188405
2024-04-11,30.67,30.92,30.47,30.89,0.0452130177514792,0.8754142011834319,0.0793372781065088,0.0527739644970414
2024-04-12,30.59,30.59,29.98,30.09,0.0559122340425531,0.8457047872340426,0.0983803191489361,0.0520686170212765
2024-04-15,30.34,30.4,29.45,29.51,0.048077922077922,0.8802272727272727,0.0717207792207792,0.0472662337662337
2024-04-16,29.37,29.6,29.19,29.41,0.0429943502824858,0.8689717514124293,0.0880395480225988,0.0857717514124293
2024-04-17,29.45,29.55,29.01,29.08,0.0632167300380228,0.851148288973384,0.0856349809885931,0.0494950570342205
2024-04-18,29.31,29.54,29.102,29.24,0.0543978873239436,0.849605633802817,0.0924823943661971,0.0696651408450704
2024-04-19,29.09,29.2,28.575,28.65,0.0481223241590214,0.8718119266055046,0.0800642201834862,0.0654915902140672
2024-04-22,28.98,29.24,28.75,29.11,0.0487455357142857,0.8793303571428571,0.0719196428571428,0.0506263392857142
2024-04-23,29.16,29.71,29.16,29.64,0.0676066945606694,0.8478075313807532,0.0845648535564853,0.0477648535564853
2024-04-24,29.82,29.91,29.404,29.56,0.0466820512820512,0.8665846153846154,0.086725641025641,0.0601435897435897
2024-04-25,28.95,29.407,28.91,29.34,0.0551029411764705,0.8626666666666667,0.0822328431372549,0.0476519607843137
2024-04-26,29.71,30.145,29.71,30.08,0.0670311355311355,0.8434010989010989,0.0852991452991453,0.0308892551892551
